REGION,DISTRICT,PORT,BOATS,DIVERS,FLAG,LAT,LNG,NOTES
Trucial 'Omān,Rās-al-Khaimah,Rams,3,45,Great Britain,25.8681499,56.0166377,
Trucial 'Omān,Rās-al-Khaimah,Rās-al-Khaimah Town,33,707,Great Britain,25.8006926,55.9761994,
Trucial 'Omān,Rās-al-Khaimah,Jazīrat-al-Hamra,25,608,Great Britain,25.6967566,55.7911919,
Trucial 'Omān,Umm-al-Qaiwain,Umm-al-Qaiwain Town,70,1759,Great Britain,25.5426324,55.5475348,
Trucial 'Omān,Shārjah,Hamrīyah,17,259,Great Britain,25.4533122,55.5191857,
Trucial 'Omān,Ajmān,Ajmān Town,40,781,Great Britain,25.4052165,55.5136433,
Trucial 'Omān,Shārjah,Hairah,25,405,Great Britain,25.385703,55.419733,
Trucial 'Omān,Shārjah,Shārjah Town,183,3680,Great Britain,25.3462553,55.4209317,
Trucial 'Omān,Shārjah,Khān,74,1295,Great Britain,25.32892,55.3682795,
Trucial 'Omān,Dibai,Dibai Town,335,6936,Great Britain,25.2048493,55.2707828,
Trucial 'Omān,Abu Dhabi,Abu Dhabi Town (and minor ports),410,5570,Great Britain,24.453884,54.3773438,
Qatar,,Wakrah,150,2550,None,25.1659314,51.5975524,
Qatar,,Dōhah,350,6300,None,25.2854473,51.5310398,
Qatar,,Lūsail,9,90,None,25.4253918,51.5044957,
Qatar,,Dha'āin,70,840,None,25.566944,51.484722,
Qatar,,Sumaismah,50,600,None,25.5755568,51.4808497,
Qatar,,Khor Shaqīq,80,1200,None,25.6804078,51.4968502,
Qatar,,Dhakhīrah,15,180,None,25.734722,51.5475,
Qatar,,Fuwairat,35,420,None,26.0243468,51.3705587,
Qatar,,Ruwais,,270,None,26.1301245,51.1977605,
Qatar,,Abu Dhalūf,20,200,None,26.129445,51.199785,
Qatar,,Khor Hassān,20,240,None,25.6804078,51.4968502,
Bahrain,Bahrain Island,Hālat-bin-Anas,9,135,Great Britain,,,unidentified
Bahrain,Bahrain Island,Aqur,6,78,Great Britain,26.2023789,50.5970687,
Bahrain,Bahrain Island,Askar,16,380,Great Britain,26.0563079,50.6158471,
Bahrain,Bahrain Island,"Bārbār, Dirāz and Bani Jamrah",17,238,Great Britain,26.2110619,50.4644169,
Bahrain,Bahrain Island,Budaiya' ,57,1482,Great Britain,26.2109291,50.4489065,
Bahrain,Bahrain Island,Hālat Bin-Iswār,16,384,Great Britain,,,unidentified
Bahrain,Bahrain Island,Jasairah,11,154,Great Britain,26.2419803,50.5425606,
Bahrain,Bahrain Island,Jaon,23,474,Great Britain,,,unidentified
Bahrain,Bahrain Island,Jubailāt,23,368,Great Britain,26.1843442,50.5501174,
Bahrain,Bahrain Island,Jufair,15,255,Great Britain,26.212971,50.6028899,
Bahrain,Bahrain Island,Ma'āmir,17,282,Great Britain,26.1346774,50.6132554,
Bahrain,Bahrain Island,Rās-ar-Rummān,19,347,Great Britain,26.2342784,50.5847544,
Bahrain,Bahrain Island,Sahābis,30,434,Great Britain,26.225729,50.544746,OCR error (Sanābis)
Bahrain,Bahrain Island,Sharaibah,13,195,Great Britain,26.25,50.4666667,
Bahrain,Bahrain Island,Zallāq,16,224,Great Britain,26.0465212,50.4980362,
Bahrain,Muharraq Island,Busaitīn,32,629,Great Britain,26.2721664,50.6091325,
Bahrain,Muharraq Island,Dair,21,378,Great Britain,26.286528,50.6236227,
Bahrain,Muharraq Island,Hadd,167,3146,Great Britain,26.2340617,50.652032,
Bahrain,Muharraq Island,Muharraq Town,282,5582,Great Britain,26.2534919,50.6082558,
Bahrain,Muharraq Island,Hālat-an-Na'īm and Hālat-as-Sulutah,51,1172,Great Britain,26.2389,50.6353,
Bahrain,Muharraq Island,Qalāli,21,441,Great Britain,26.2703091,50.6612182,
Bahrain,Muharraq Island,Samāhij,11,186,Great Britain,26.281668,50.6352878,
Bahrain,Muharraq Island,Umm-ash-Shajar,12,231,Great Britain,26.2288889,50.6558333,
Bahrain,Nabi Sālih Island,Nabi Sālih Island,10,130,Great Britain,26.182797,50.58477,
Bahrain,Sitrah Island,Sitrah Island,22,308,Great Britain,26.161468,50.61626,
Hasa Sanjāq,Qatīf Oasis,Bahāri,7,112,Turkey,26.568987,49.991012,
Hasa Sanjāq,Qatīf Oasis,Awāmīyah,5,90,Turkey,26.5845726,49.9832663,
Hasa Sanjāq,Qatīf Oasis,Dabaibiyah,4,84,Turkey,26.5275,49.7761111,
Hasa Sanjāq,Qatīf Oasis,Kawaikib,5,114,Turkey,29.48333,47.7,
Hasa Sanjāq,Qatīf Oasis,Qatīf Town (Farīq-al-Maqbarah),4,80,Turkey,26.5764917,49.998236,
Hasa Sanjāq,Qatīf Oasis,Qudaih,10,185,Turkey,26.5700827,49.9865368,
Hasa Sanjāq,Qatīf Oasis,Saihāt,30,560,Turkey,26.4889127,50.0282017,
Hasa Sanjāq,Tārūt Island,Dārīn,15,357,Turkey,26.5432557,50.078401,
Hasa Sanjāq,Tārūt Island,Fanyah,7,122,Turkey,26.5953,50.07684,
Hasa Sanjāq,Tārūt Island,Sanābis,68,1565,Turkey,26.5827593,50.0833533,
Kuwait,,Kuwait Town,461,9200,Great Britain,29.375859,47.9774052,
Persia,Southern 'Arabistān,,0,0,Persia,,,no boats
Persia,Līrāvi,,0,0,Persia,,,no boats
Persia,Hayāt Dāvud,Khārag Island,40,250,Persia,29.2457199,50.3120667,
Persia,Shabānkāreh,,0,0,Persia,,,no boats
Persia,Rūd-hilleh,,0,0,Persia,,,no boats
Persia,Angāli,,0,0,Persia,,,no boats
Persia,Dashtistān,,0,0,Persia,,,no boats
Persia,Būshehr Peninsula,,0,0,Persia,,,no boats
Persia,Tangistān,,0,0,Persia,,,no boats
Persia,Dashti,,0,0,Persia,,,no boats
Persia,Shībkūh,Asalu,25,137,Persia,27.4761,52.6074,
Persia,Shībkūh,Nakhl Taqi,14,70,Persia,27.4988523,52.5879031,
Persia,Shībkūh,Hālat Nāband,25,257,Persia,27.3136253,56.454317,
Persia,Shībkūh,Nāband,47,155,Persia,27.3136253,56.454317,
Persia,Shībkūh,Rās Ghurāb,20,20,Persia,,,unidentified
Persia,Shībkūh,Ghāf,12,12,Persia,27.28333,52.68333,
Persia,Shībkūh,Barku,16,16,Persia,26.84823,55.3355,
Persia,Shībkūh,Khuvādān,13,29,Persia,27.2,52.76667,
Persia,Shībkūh,Tibin,11,23,Persia,27.23321,52.80174,
Persia,Shībkūh,Amārīyeh,8,20,Persia,27.17395,52.9089,
Persia,Shībkūh,Dastūr,8,24,Persia,27.14024,52.96141,
Persia,Shībkūh,Bustānu,9,125,Persia,27.0816388,55.9985474,
Persia,Shībkūh,Ziyārat,4,20,Persia,27.0983357,53.0774696,
Persia,Shībkūh,Kalātu,6,6,Persia,26.8920531,55.2550989,
Persia,Shībkūh,Shīvuh,33,333,Persia,27.0802,53.1435,
Persia,Shībkūh,Mugām,42,538,Persia,26.9652,53.4801,
Persia,Shībkūh,Nakhīla,12,134,Persia,26.891,53.4874,OCR error (Nakhīlu)
Persia,Shībkūh,Jazeh,12,92,Persia,26.8262,53.5318,
Persia,Shībkūh,Shaikh Shu'aib Island,76,932,Persia,26.8089931,53.2719308,
Persia,Shībkūh,Makāhīl,7,71,Persia,26.8192,53.5415,
Persia,Shībkūh,Hindarābi Island,20,136,Persia,26.6784814,53.6339403,
Persia,Shībkūh,Chīrū,17,238,Persia,26.7166239,53.7326437,
Persia,Shībkūh,Kalāt,29,241,Persia,26.71655,53.85471,
Persia,Shībkūh,Gūrzeh,23,169,Persia,26.7355587,53.9405609,
Persia,Shībkūh,Qais Island,90,1464,Persia,26.5324775,53.9867949,
Persia,Shībkūh,Tāvuneh,25,113,Persia,26.70767,54.20394,
Persia,Shībkūh,Buraghleh,6,30,Persia,,,unidentified
Persia,Shībkūh,Chārak,25,400,Persia,26.7337322,54.2675018,
Persia,Shībkūh,Hasīneh,15,75,Persia,26.65358,54.361871,
Persia,Shībkūh,Saif-ash-Shaikh,5,25,Persia,,,unidentified
Persia,Shībkūh,Mughu,26,338,Persia,26.60523,54.5091,
Persia,Shībkūh,Farūr Island,2,6,Persia,26.2943143,54.510853,
Persia,Lingeh,Sirri Island,35,495,Indeterminate,25.9143361,54.5272851,
Persia,Lingeh,Duvvān,35,407,Persia,26.58112,54.58474,
Persia,Lingeh,Bustāneh,51,169,Persia,26.5123126,54.6561179,
Persia,Lingeh,Milu,5,5,Persia,26.5202807,54.7248868,
Persia,Lingeh,Shanās,3,3,Persia,26.523432,54.793381,
Persia,Lingeh,Lingeh Town,72,1306,Persia,26.5627867,54.888679,